id_local;matricula;bastidor;ktype;codVersion;rvCode;marca;modelo;version;anyo;combustible;estado;fotos
-1096169060;;;52003;011301520350001;9640;BMW;SERIE 4 COUPE (F32);435d xDrive;0;Diesel;;0
-1117357391;;;59003;017200760300006;12918;RENAULT;CLIO IV;Business;0;Diesel;;0
-1620711108;;;18769;017900140380013;2555;SEAT;LEON (1P1);Comfort Limited;0;Diesel;;0
-1859573304;;;18594;015700550120001;9439;MERCEDES-BENZ;CLASE ML (BM 164);320 / 350 CDI (164.122);0;Diesel;;0
-1483320141;;;23386;016701160330005;28319;PEUGEOT;207 SW;Confort;0;Sin plomo 95;;0
-1268121748;;;23408;015700620420003;1002;MERCEDES-BENZ;CLASE C (BM 204) FAMILIAR;220 T CDI BlueEfficiency (204.202);0;Diesel;;0
-1363701770;;;10466;018600090140001;4234;TOYOTA;YARIS (NCP1/NLP1/SCP1);1.0 Linea Luna;0;Sin plomo 95;;0
-1430893693;;;;02190006;136G;CITROEN;C 25 COMBI/BUS;*;0;;;0
-1336746724;;;3908;022850240150002;18783;FORD;TRANSIT BUS (EY);Autocaravana - Nugget;0;Diesel;;0
-1857498351;;;;038300020010001;;SUZUKI;GLADIUS 650;Gladius 650;0;;;0
-1699397310;;;17920;010600480070001;9018;AUDI;A8 (4E);3.0 TDI Quattro;0;Diesel;;0
-1942551425;;;;01190053B000008;143G;CITROEN;C3;*;0;;;0
-1871942855;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1611479561;;;118645;019051050170003;37269;VOLKSWAGEN;GOLF VII (5G1/BE1);GTI Clubsport BMT;0;Sin plomo 95;;0
-1765297155;;;11206;018100080560001;13088;SSANGYONG;REXTON;270 XVT Limited;0;Diesel;;0
-1719187523;;;16336;011900530890001;26081;CITROEN;C3;1.4 HDi 16V XTR;0;Diesel;;0
-1932095642;;;12587;015700240220001;14133;MERCEDES-BENZ;CLASE E (BM 210) BERLINA;320 CDI (210.026);0;Diesel;;0
-1078249798;;;;02720012B000011;4518G;RENAULT;TRAFIC II FURGÓN;*;0;;;0
-1312177822;;;16341;010700630340001;33603;MG ROVER;ROVER 75 (RJ);2.5 KV6 Club;0;Sin plomo 91;;0
-1069989352;;;;01790012;5107G;SEAT;TOLEDO (1M2);*;0;;;0
-1172439114;;;;01130056;1004G;BMW;SERIE 3 BERLINA (E90);*;0;;;0
-1973425453;;;;01720107B000031;5055G;RENAULT;MEGANE II COUPE/CABRIO;*;0;;;0
-1894522819;;;;01720111B000005;5060G;RENAULT;MEGANE III BERLINA 5P;*;0;;;0
-1353309363;;;;01590031B000012;712G;MITSUBISHI;CARISMA BERLINA 5 (DA0);*;0;;;0
-1888937081;;;15447;012850610050022;37717;FORD;MONDEO BERLINA (GE);Trend (06.2003->) (D);0;Diesel;;0
-1965409002;;;;01040017B000013;877G;ALFA ROMEO;147 (190);*;0;;;0
-1274286644;;;28220;016501300150009;3135;OPEL;INSIGNIA BERLINA;Cosmo;0;Diesel;;0
-1144709433;;;;01650041B000008;4262G;OPEL;ASTRA F BERLINA;*;0;;;0
-1852033071;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1595019370;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1522403792;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1391135997;;;;01710050B000004;1014G;PORSCHE;PANAMERA (TIPO 970);*;0;;;0
-1904457216;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1131528297;;;;01650048;5739G;OPEL;ASTRA H BERLINA;*;0;;;0
-1225109918;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1690415807;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1187154989;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1394732401;;;;01710028B000017;4485G;PORSCHE;CAYENNE (TIPO 92A);*;0;;;0
-1993842281;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1910571429;;;;01710028B000017;4485G;PORSCHE;CAYENNE (TIPO 92A);*;0;;;0
-1491152251;;;;01710050B000004;1014G;PORSCHE;PANAMERA (TIPO 970);*;0;;;0
-1686177950;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1943714626;;;;01710028B000017;4485G;PORSCHE;CAYENNE (TIPO 92A);*;0;;;0
-1159058121;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1838740396;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1412713179;;;16357;014250510070001;28711;KIA;CARNIVAL II (FL);2.9 CDRi EX;0;Diesel;;0
-1419974965;;;32064;017100500020001;15195;PORSCHE;PANAMERA (TIPO 970);S;0;Sin plomo 95;;0
-1742739725;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1341451243;;;;01710028B000017;4485G;PORSCHE;CAYENNE (TIPO 92A);*;0;;;0
-1557583056;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1054086915;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1741417678;;;;01710028B000017;4485G;PORSCHE;CAYENNE (TIPO 92A);*;0;;;0
-1111870136;;;;01710050B000004;1014G;PORSCHE;PANAMERA (TIPO 970);*;0;;;0
-1975633556;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1808533955;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1799134682;;;;01710050B000004;1014G;PORSCHE;PANAMERA (TIPO 970);*;0;;;0
-1338141049;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1996087382;;;;01670063;4991G;PEUGEOT;PARTNER (S2);*;0;;;0
-1594496347;;;;01710050B000004;1014G;PORSCHE;PANAMERA (TIPO 970);*;0;;;0
-1489022460;;;;01710028B000017;4485G;PORSCHE;CAYENNE (TIPO 92A);*;0;;;0
-1401603402;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1782048450;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1622363487;;;;01670022B000011;950G;PEUGEOT;206;*;0;;;0
-1862580322;;;13084;016700380310007;36226;PEUGEOT;306 BREAK;Boulebard;0;Diesel;;0
-1122888407;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1860547828;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1454243407;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1766155637;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1126155752;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1543445984;;;;01710028B000017;4485G;PORSCHE;CAYENNE (TIPO 92A);*;0;;;0
-1714068578;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1300386796;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1376453361;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1784308834;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1917228669;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1005665223;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1256189962;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1888741519;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1415344515;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1398153661;;;17166;015700330130002;8032;MERCEDES-BENZ;CLASE E (BM 211) FAMILIAR;270 T CDI (211.216);0;Diesel;;0
-1947344039;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1607523456;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1353251929;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1186553418;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1238087945;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1979387306;;;;01710028B000017;4485G;PORSCHE;CAYENNE (TIPO 92A);*;0;;;0
-1375995339;;;15529;010400170060002;33422;ALFA ROMEO;147 (190);1.6 T.Spark Distinctive;0;Sin plomo 95;;0
-1213061613;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1724109720;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1296183872;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1638389537;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1707313432;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1564688288;;;;017100280030003;;PORSCHE;CAYENNE (TIPO 92A);Diesel;0;Diesel;;0
-1100637104;;;;02345004;4840G;HYUNDAI;H-1 ();*;0;;;0
-1963488142;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1145951575;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1211747697;;;;01650075B000011;943G;OPEL;VECTRA C BERLINA;*;0;;;0
-1934022077;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1653343949;;;;01570032B000042;4036G;MERCEDES-BENZ;CLASE E (BM 211) BERLINA;*;0;;;0
-1266991385;;;;01710050;1014G;PORSCHE;PANAMERA (TIPO 970);*;0;;;0
-1502577506;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1267522504;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1063057301;;;;017100280030003;;PORSCHE;CAYENNE (TIPO 92A);Diesel;0;Diesel;;0
-1609449970;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1506107877;;;;01710028B000017;4485G;PORSCHE;CAYENNE (TIPO 92A);*;0;;;0
-1989843435;;;;01710028B000017;4485G;PORSCHE;CAYENNE (TIPO 92A);*;0;;;0
-1411287796;;;12018;011900810070067;4752;CITROEN;C4 BERLINA;Exclusive;0;Sin plomo 95;;0
-1887181964;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1487737828;;;;01710028B000017;4485G;PORSCHE;CAYENNE (TIPO 92A);*;0;;;0
-1589719096;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1940888957;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1283971330;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1886804863;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1248010204;;;;01710028B000017;4485G;PORSCHE;CAYENNE (TIPO 92A);*;0;;;0
-1343728780;;;17445;017201000520003;27974;RENAULT;SCENIC II (JM);Confort Authentique;0;Sin plomo 95;;0
-1058655025;;;;01710028B000017;4485G;PORSCHE;CAYENNE (TIPO 92A);*;0;;;0
-1905261436;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1330308523;;;11392;015700640350001;9556;MERCEDES-BENZ;CLASE GLK (BM 204);GLK 350 CDI 4-Matic (204.992);0;Diesel;;0
-1874417156;;;;018000440400013;;SKODA;OCTAVIA BERLINA (1U2);Collection;0;Sin plomo 91;;0
-1475169670;;;;01710028B000017;4485G;PORSCHE;CAYENNE (TIPO 92A);*;0;;;0
-1433753614;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1726386120;;;11585;017100280030002;8976;PORSCHE;CAYENNE (TIPO 92A);Diesel;0;Diesel;;0
-1645518226;;;138657;027200180010006;6310;RENAULT;TRAFIC III FURGÓN;L1H1 2,7t;0;Diesel;;0
-1299459710;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1129213438;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1566877645;;;;01710050B000004;1014G;PORSCHE;PANAMERA (TIPO 970);*;0;;;0
-1879654031;;;32064;017100500020002;15195;PORSCHE;PANAMERA (TIPO 970);S;0;Sin plomo 95;;0
-1900380656;;;;03830006;;SUZUKI;GSR 600;*;0;;;0
55571;SM;JTHFN48Y100023962;15860;014870500010001;11349;LEXUS;SC 430 (UZZ40);Básico;2002;Sin plomo 95;0,1,9,5;6
-1841647885;;;;01470015;492G;LANCIA;KAPPA BERLINA;*;0;;;0
-1803336608;;;;017100550010003;;PORSCHE;MACAN (95BA);Base;0;Sin plomo 95;;0
-1705720776;;;;017100280030003;;PORSCHE;CAYENNE (TIPO 92A);Diesel;0;Diesel;;0
-1258399040;;;;017100280030003;;PORSCHE;CAYENNE (TIPO 92A);Diesel;0;Diesel;;0
-1418238262;;;;017100280030003;;PORSCHE;CAYENNE (TIPO 92A);Diesel;0;Diesel;;0
-1655488519;;;11206;018100080560001;13088;SSANGYONG;REXTON;270 XVT Limited;0;Diesel;;0
-1565257857;;;18843;013450140150001;32490;HYUNDAI;COUPE (GK);1.6 FX;0;Sin plomo 95;;0
-1005467716;;;;010601050700005;;AUDI;A4 BERLINA (8K2);Básico;0;Diesel;;0
-1743809976;;;;010601050700005;;AUDI;A4 BERLINA (8K2);Básico;0;Diesel;;0
-1360001267;;;;01190051B000004;1032G;CITROEN;C5 BERLINA;*;0;;;0
-1426284832;;;30937;017900230080086;24547;SEAT;IBIZA (6L1);Reference;0;Sin plomo 95;;0
-1259388337;;;58548;012851000060002;21643;FORD;KUGA (CBV);Titanium;0;Diesel;;0
-1358472262;;;16811;013450220250001;29504;HYUNDAI;ACCENT (LC);CRDi GL;0;Diesel;;0
-1864798594;;;13182;011900470220002;6357;CITROEN;XSARA COUPE;2.0 HDi VTS (66kW);0;Diesel;;0
-1018158880;;;;010601050700005;;AUDI;A4 BERLINA (8K2);Básico;0;Diesel;;0
-1264482038;;;;010601050700005;;AUDI;A4 BERLINA (8K2);Básico;0;Diesel;;0
-1778051523;;;;010601050700005;;AUDI;A4 BERLINA (8K2);Básico;0;Diesel;;0
-1454532662;;;;010601050700005;;AUDI;A4 BERLINA (8K2);Básico;0;Diesel;;0
-1590685361;;;;010601050700005;;AUDI;A4 BERLINA (8K2);Básico;0;Diesel;;0
-1488835129;;;;010601050700005;;AUDI;A4 BERLINA (8K2);Básico;0;Diesel;;0
-1900822264;;;;010601050700005;;AUDI;A4 BERLINA (8K2);Básico;0;Diesel;;0
-1025305619;;;11206;018100080560001;13088;SSANGYONG;REXTON;270 XVT Limited;0;Diesel;;0
-1293695927;;;11206;018100080560001;13088;SSANGYONG;REXTON;270 XVT Limited;0;Diesel;;0
49991;CA9649AY;WBACJ51040AS08251;3818;011300120130001;27692;BMW;SERIE 3 BERLINA (E36);318tds;1994;Diesel;0,1,15,5;3
50189;3985FCS;WVWZZZ1JZYB113223;8460;019050450300033;1522;VOLKSWAGEN;GOLF IV BERLINA (1J1)(10.1997);Conceptline;1997;Sin plomo 91;0,1,15,5;4
50504;9985FNR;VF3GJ9HWC95264835;;016700630310001;;PEUGEOT;PARTNER (S2);Combiespace;2007;Diesel;0,1,15,5;5
50527;4874FKM;WBAFA71090LW21781;13043;011300450050003;8724;BMW;SERIE X5 (E53);3.0d;2003;Diesel;0,1,15,5;6
50679;CO1549AW;WVWZZZ1JZYP382268;8799;019050450010065;12932;VOLKSWAGEN;GOLF IV BERLINA (1J1)(10.1997);Básico;1997;Sin plomo 91;0,1,15,5;6
50877;;VF1JA0B0224257430;57731;017200830130001;13601;RENAULT;SCENIC I (JA...);1.6 16V Authentique (JA0B/11);2001;Sin plomo 95;0,1,5,15;6
50893;6874CLR;VF32AWJYF43417855;9468;016700220260006;16830;PEUGEOT;206;XN;1998;Diesel;0,15,5;0
50896;1244BPZ;VF7VDW70000WT8870;2245;011900110020002;26039;CITROEN;C 15;D;1985;Diesel;0,1,15,5;5
50984;0468CTJ;VF7GBWJ4B94105362;5720;011900120160002;26343;CITROEN;BERLINGO;1.9 600 D Furg.;2004;Diesel;0,1,15,5;3
51103;MA3595CL;SARRFYWZSXD328916;5330;010700620130001;19258;MG ROVER;ROVER 200 (RF);216 Si (5-ptas.);1996;Sin plomo 91;0,1,15,5;7
51537;1853FXJ;VF1SB8M0537878677;29998;017200690440049;29136;RENAULT;CLIO II FASE II (B/CB0);Campus;2007;Diesel;0,15,1,5;35
51683;9800DGF;VF33C9HYB83942074;17993;016700810410026;30024;PEUGEOT;307 BERLINA (S2);X-Line;2005;Diesel;0,1,15,5;40
51715;8639CGX;WDB1704471F156275;5974;015700140040001;5768;MERCEDES-BENZ;SLK (BM 170) ROADSTER;230 Compressor (170.447);1996;Sin plomo 98;0,1,15,5;37
51959;8250BZX;WDB9046121R403496;;025700410100013;;MERCEDES-BENZ;SPRINTER KASTEN HOCHDACH;313  CDI   (903.663);1999;;0,1,15,5;10
51972;;VF7DC4HXG76507080;15915;011900510210008;25319;CITROEN;C5 BERLINA;2.2 HDi Exclusive Automático;2003;Diesel;0,1,15,5;11
52083;MA4895CB;WBACG11000KB67699;3726;011300130260001;1786;BMW;SERIE 3 COUPE (E36);316i Comfort Edition;1997;Sin plomo 91;0,1,15,5;10
52149;RK04AAE;WP1ZZZ9PZ4LA51712;16695;017100300030002;18791;PORSCHE;CAYENNE (TIPO 9PA);S;2002;Sin plomo 98;0,1,5,15;19
52193;PIHA255;WBANJ71060B511126;17778;011300660350002;9694;BMW;SERIE 5 TOURING (E61);530d;2004;Diesel;0,1,15,5;25
52617;9695CDJ;JTDES192000105583;;01487020B000001;5882G;LEXUS;IS 200 (GXE10);*;2003;;0,1,9,15,5;7
52789;NYL231;TMBCXZ1ZX72019834;23291;018000440180004;2564;SKODA;OCTAVIA BERLINA (1U2);Tour;2006;Diesel;0,1,5,15;7
52980;6825CLS;WF0AXXWPDA3S75644;9640;012850700040001;30917;FORD;FOCUS BERLINA (CAK);Ambiente;1998;Sin plomo 95;0,15,5;0
53169;7499GLW;VF7VD9HZC45291891;22483;011900830050031;9911;CITROEN;C4 PICASSO;Exclusive;0;Diesel;0,1,15,5;8
53170;1824HZG;W0L0SDL68E4277373;33725;016501010260034;9464;OPEL;CORSA D;CMon;0;Sin plomo 95;0,1,15,5;7
53416;1380HNY;6FPPXXMJ2PCS75988;12605;012850960060001;1559;FORD;RANGER (TKE);Doppelkabine 4X4 XL;0;Diesel;0,1,5,9,15;7
53473;0995BFL;WVWZZZ6NZ1Y200255;5278;019050620200007;16656;VOLKSWAGEN;POLO III BERLINA (6N2);Conceptline;0;Sin plomo 91;0,1,5,15;8
53714;MA7580CV;VF1KC0AAF19845958;8987;017200170200001;24082;RENAULT;KANGOO I (F/KC0);Authentique;0;Sin plomo 91;0,1,15,5,9;8
53897;3627DZL;VF7LA9HXC74447396;18343;011900810390001;22648;CITROEN;C4 BERLINA;Collection;0;Diesel;0,1,15,5;8
54271;1683DGM;WF0VXXBDFV4Y03931;16879;022850410020004;37693;FORD;TRANSIT FURGÓN CORTO (FY);FT  260   2.0;2000;Diesel;0,5,15,9;0
-1490844783;;;16811;013450220250001;29504;HYUNDAI;ACCENT (LC);CRDi GL;0;Diesel;;0
-1968905634;;;16811;013450220250001;29504;HYUNDAI;ACCENT (LC);CRDi GL;0;Diesel;;0
-1609950081;;;18843;013450140150001;32490;HYUNDAI;COUPE (GK);1.6 FX;0;Sin plomo 95;;0
-1380275642;;;18843;013450140150001;32490;HYUNDAI;COUPE (GK);1.6 FX;0;Sin plomo 95;;0
-1702657197;;;13182;011900470220002;6357;CITROEN;XSARA COUPE;2.0 HDi VTS (66kW);0;Diesel;;0
-1144415952;;;13182;011900470220002;6357;CITROEN;XSARA COUPE;2.0 HDi VTS (66kW);0;Diesel;;0
-1443439347;;;16811;013450220250001;29504;HYUNDAI;ACCENT (LC);CRDi GL;0;Diesel;;0
-1516601518;;;16811;013450220250001;29504;HYUNDAI;ACCENT (LC);CRDi GL;0;Diesel;;0
